organisation,url,redirects,sector
"Ministry of Business, Innovation and Employment",majorevents.govt.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",mbie.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",med.govt.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",minhousing.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",morst.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",motortraders.govt.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",movetonz.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",msi.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",networkzonline.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",newzealandnow.govt.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",nzbn.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",nzis.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",nzpam.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",opportunitycanterbury.org.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",osh.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",pmcoe.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",powerswitch.org.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",ppsr.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",procurement.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",pvr.govt.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",recalls.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",remauthority.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",retirementvillages.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",rsm.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",scamwatch.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",shu.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",ska.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",smarterhomes.org.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",societies.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",ssnz.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",standards.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",tenancy.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",tourism.govt.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",tourismresearch.govt.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",volunteernet.org.nz,Yes,Public Service department
"Ministry of Business, Innovation and Employment",vri.govt.nz,No,Public Service department
"Ministry of Business, Innovation and Employment",weathertightness.govt.nz,Yes,Public Service department
Ministry of Education,asia-knowledge.tki.org.nz,Yes,Public Service department
Ministry of Education,education.govt.nz,Yes,Public Service department
Ministry of Education,educationalleaders.govt.nz,Yes,Public Service department
Ministry of Education,educationcounts.govt.nz,No,Public Service department
Ministry of Education,educationnz.govt.nz,No,Public Service department
Ministry of Education,ile.education.govt.nz,No,Public Service department
Ministry of Education,kahuiako.education.govt.nz,No,Public Service department
Ministry of Education,minedu.govt.nz,No,Public Service department
Ministry of Education,ncea.tki.org.nz,No,Public Service department
Ministry of Education,novopay.govt.nz,No,Public Service department
Ministry of Education,nzcurriculum.tki.org.nz,No,Public Service department
Ministry of Education,nzmaths.co.nz,No,Public Service department
Ministry of Education,property.education.govt.nz,No,Public Service department
Ministry of Education,rtlb.tki.org.nz,No,Public Service department
Ministry of Education,shapingeducation.govt.nz,No,Public Service department
Ministry of Education,steo.govt.nz,Yes,Public Service department
Ministry of Education,studyit.org.nz,Yes,Public Service department
Ministry of Education,teachnz.govt.nz,No,Public Service department
Ministry of Education,tki.org.nz,No,Public Service department
Ministry of Education,UiaNgaPatai.co.nz,Yes,Public Service department
Ministry of Education,unesco.govt.nz,Yes,Public Service department
Ministry of Education,vln.school.nz,No,Public Service department
Ministry of Education,wicked.org.nz,No,Public Service department
Ministry of Foreign Affairs and Trade,aid.govt.nz,No,Public Service department
Ministry of Foreign Affairs and Trade,chinafta.govt.nz,No,Public Service department
Ministry of Foreign Affairs and Trade,mfat.govt.nz,Yes,Public Service department
Ministry of Foreign Affairs and Trade,mfatimages.smugmug.com,No,Public Service department
Ministry of Foreign Affairs and Trade,mft.govt.nz,Yes,Public Service department
Ministry of Foreign Affairs and Trade,nzaid.govt.nz,No,Public Service department
Ministry of Foreign Affairs and Trade,nzembassy.com,No,Public Service department
Ministry of Foreign Affairs and Trade,nzpsi.govt.nz,No,Public Service department
Ministry of Foreign Affairs and Trade,nzunsc.govt.nz,No,Public Service department
Ministry of Foreign Affairs and Trade,safetravel.govt.nz,Yes,Public Service department
Ministry of Foreign Affairs and Trade,tradebarriers.govt.nz,No,Public Service department
Ministry of Health,aniva.co.nz,No,Public Service department
Ministry of Health,anztpa.govt.nz,Yes,Public Service department
Ministry of Health,breastscreen.govt.nz,No,Public Service department
Ministry of Health,cancercontrolnz.govt.nz,Yes,Public Service department
Ministry of Health,cervicalscreening.govt.nz,No,Public Service department
Ministry of Health,csi.org.nz,No,Public Service department
Ministry of Health,drughelp.org.nz,No,Public Service department
Ministry of Health,electiveservices.govt.nz,Yes,Public Service department
Ministry of Health,health.govt.nz,No,Public Service department
Ministry of Health,healthemis.govt.nz,No,Public Service department
Ministry of Health,healthline.govt.nz,No,Public Service department
Ministry of Health,healthworkforce.govt.nz,Yes,Public Service department
Ministry of Health,hiirc.org.nz,No,Public Service department
Ministry of Health,hikb.govt.nz,No,Public Service department
Ministry of Health,hisac.govt.nz,Yes,Public Service department
Ministry of Health,immunise.govt.nz,No,Public Service department
Ministry of Health,improvementmethodology.govt.nz,No,Public Service department
Ministry of Health,ithealthboard.health.nz,No,Public Service department
Ministry of Health,learnonline.health.nz,No,Public Service department
Ministry of Health,maorihealth.govt.nz,Yes,Public Service department
Ministry of Health,medsafe.govt.nz,No,Public Service department
Ministry of Health,methhelp.org.nz,Yes,Public Service department
Ministry of Health,moh.govt.nz,No,Public Service department
Ministry of Health,naso.govt.nz,No,Public Service department
Ministry of Health,ndp.govt.nz,No,Public Service department
Ministry of Health,nsu.govt.nz,No,Public Service department
Ministry of Health,nzhis.govt.nz,No,Public Service department
Ministry of Health,pothelp.org.nz,No,Public Service department
Ministry of Health,publichealthworkforce.org.nz,Yes,Public Service department
Ministry of Justice,cap.govt.nz,Yes,Public Service department
Ministry of Justice,chiefvictimsadvisor.justice.govt.nz,No,Public Service department
Ministry of Justice,courts.govt.nz,No,Public Service department
Ministry of Justice,courtsofnz.govt.nz,No,Public Service department
Ministry of Justice,criminaljustice.govt.nz,Yes,Public Service department
Ministry of Justice,disputestribunal.govt.nz,No,Public Service department
Ministry of Justice,districtcourts.govt.nz,No,Public Service department
Ministry of Justice,employmentcourt.govt.nz,No,Public Service department
Ministry of Justice,environmentcourt.govt.nz,No,Public Service department
Ministry of Justice,fines.govt.nz,No,Public Service department
Ministry of Justice,gwn.govt.nz,No,Public Service department
Ministry of Justice,igis.govt.nz,No,Public Service department
Ministry of Justice,ijs.govt.nz,No,Public Service department
Ministry of Justice,justice.govt.nz,No,Public Service department
Ministry of Justice,legalservicescommissioner.govt.nz,Yes,Public Service department
Ministry of Justice,lsa.govt.nz,Yes,Public Service department
Ministry of Justice,maorilandcourt.govt.nz,No,Public Service department
Ministry of Justice,maorilandonline.govt.nz,No,Public Service department
Ministry of Justice,ots.govt.nz,No,Public Service department
Ministry of Justice,payorstay.govt.nz,No,Public Service department
Ministry of Justice,pds.govt.nz,No,Public Service department
Ministry of Justice,pspla.govt.nz,No,Public Service department
Ministry of Justice,tenancytribunal.govt.nz,No,Public Service department
Ministry of Justice,victimsinfo.govt.nz,No,Public Service department
Ministry of Justice,waitangi-tribunal.govt.nz,Yes,Public Service department
Ministry of Justice,waitangitribunal.govt.nz,No,Public Service department
Ministry of Justice,youthcourt.govt.nz,Yes,Public Service department
Ministry of Social Development,areyouok.org.nz,No,Public Service department
Ministry of Social Development,childrensactionplan.govt.nz,Yes,Public Service department
Ministry of Social Development,contractmapping.govt.nz,No,Public Service department
Ministry of Social Development,cyf.govt.nz,Yes,Public Service department
Ministry of Social Development,hcn.govt.nz,No,Public Service department
Ministry of Social Development,heartlandservices.govt.nz,No,Public Service department
Ministry of Social Development,msd.govt.nz,Yes,Public Service department
Ministry of Social Development,myd.govt.nz,No,Public Service department
Ministry of Social Development,odi.govt.nz,No,Public Service department
Ministry of Social Development,osc.govt.nz,Yes,Public Service department
Ministry of Social Development,quakeaccommodation.govt.nz,No,Public Service department
Ministry of Social Development,seniorcitizens.govt.nz,Yes,Public Service department
Ministry of Social Development,sia.govt.nz,No,Public Service department
Ministry of Social Development,siu.govt.nz,No,Public Service department
Ministry of Social Development,socialhousing.govt.nz,No,Public Service department
Ministry of Social Development,socialpolicy.govt.nz,No,Public Service department
Ministry of Social Development,spear.govt.nz,Yes,Public Service department
Ministry of Social Development,strengtheningfamilies.govt.nz,No,Public Service department
Ministry of Social Development,studylink.govt.nz,Yes,Public Service department
Ministry of Social Development,supergold.govt.nz,Yes,Public Service department
Ministry of Social Development,thinkdifferently.org.nz,Yes,Public Service department
Ministry of Social Development,viki.govt.nz,No,Public Service department
Ministry of Social Development,wff.govt.nz,Yes,Public Service department
Ministry of Social Development,winz.govt.nz,Yes,Public Service department
Ministry of Social Development,workandincome.govt.nz,No,Public Service department
Ministry of Social Development,workingforfamilies.govt.nz,Yes,Public Service department
Ministry of Social Development,youthaffairs.govt.nz,No,Public Service department
Ministry of Social Development,youthdevelopment.govt.nz,Yes,Public Service department
Ministry of Social Development,youthparliament.govt.nz,No,Public Service department
Ministry of Social Development,youthservice.govt.nz,Yes,Public Service department
Ministry of Social Development,youthvoices.govt.nz,No,Public Service department
Ministry of Transport,adventuresmart.org.nz,No,Public Service department
Ministry of Transport,maliat.govt.nz,Yes,Public Service department
Ministry of Transport,mot.govt.nz,No,Public Service department
Ministry of Transport,nzsar.govt.nz,No,Public Service department
Ministry of Transport,saferjourneys.govt.nz,Yes,Public Service department
Ministry of Transport,searchandrescuecouncil.org.nz,Yes,Public Service department
Ministry of Transport,transport.govt.nz,No,Public Service department
Museum of New Zealand Te Papa Tongarewa,tepapa.govt.nz,No,Autonomous Crown Entity
Museum of New Zealand Te Papa Tongarewa,treaty2u.govt.nz,No,Autonomous Crown Entity
Napier City Council ,napier.govt.nz,No,City Council
National Institute of Water and Atmospheric Research,niwa.co.nz,No,Crown entity company
Nelson City Council,ncc.govt.nz,No,City Council
Nelson City Council,nelson.govt.nz,No,City Council
Nelson City Council,nelsonpubliclibraries.govt.nz,Yes,City Council
Nelson City Council,nrsbu.govt.nz,No,City Council
Nelson Marlborough District Health Board,nmdhb.govt.nz,No,District Health Board
Nelson Marlborough District Health Board,nmhs.govt.nz,No,District Health Board
New Plymouth District Council,newplymouth.govt.nz,No,District Council
New Zealand Antarctic Institute,scottbase50years.co.nz,No,Crown Entity - Crown Agent
New Zealand Artificial Limb Service ,nzalb.govt.nz,No,Autonomous Crown Entity
New Zealand Artificial Limb Service ,nzals.govt.nz,Yes,Autonomous Crown Entity
New Zealand Blood Service,nzblood.co.nz,No,Crown Entity - Crown Agent
New Zealand Blood Service,nzblood.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Blood Service,startafanclub.co.nz,No,Crown Entity - Crown Agent
New Zealand Council for Educational Research,nzcer.org.nz,No,Other
New Zealand Customs Service,contrabandmagazine.org.nz,No,Non-Public Service department
New Zealand Customs Service,customs.govt.nz,Yes,Non-Public Service department
New Zealand Customs Service,jbmsconsultation.govt.nz,Yes,Non-Public Service department
New Zealand Customs Service,tsw.govt.nz,No,Non-Public Service department
New Zealand Customs Service,whatsmyduty.org.nz,Yes,Non-Public Service department
New Zealand Defence Force,airforce.mil.nz,No,Non-Public Service department
New Zealand Defence Force,airforcemuseum.co.nz,Yes,Non-Public Service department
New Zealand Defence Force,armymuseum.co.nz,No,Non-Public Service department
New Zealand Defence Force,cadetforces.mil.nz,No,Non-Public Service department
New Zealand Defence Force,defence.govt.nz,Yes,Non-Public Service department
New Zealand Defence Force,defencecareers.mil.nz,No,Non-Public Service department
New Zealand Defence Force,desc.govt.nz,No,Non-Public Service department
New Zealand Defence Force,homebase.mil.nz,Yes,Non-Public Service department
New Zealand Defence Force,medals.nzdf.mil.nz,No,Non-Public Service department
New Zealand Defence Force,navy.mil.nz,Yes,Non-Public Service department
New Zealand Defence Force,navymuseum.mil.nz,No,Non-Public Service department
New Zealand Defence Force,nzdf.mil.nz,No,Non-Public Service department
New Zealand Defence Force,reserves.mil.nz,Yes,Non-Public Service department
New Zealand Defence Force,veteransaffairs.mil.nz,No,Non-Public Service department
New Zealand Film Commission,nzfilm.co.nz,No,Autonomous Crown Entity
New Zealand Fire Service Commission,fire.org.nz,Yes,Crown Entity - Crown Agent
New Zealand Fire Service Commission,incidents.fire.org.nz,No,Crown Entity - Crown Agent
New Zealand Fish and Game Council,fishandgame.org.nz,Yes,Public Finance Act Fourth Schedule Organisation
New Zealand Lotteries Commission,mylotto.co.nz,Yes,Autonomous Crown Entity
New Zealand Optometrists and Dispensing Opticians Board,odob.health.nz,No,Regulatory Authority
New Zealand Police,111.govt.nz,No,Non-Public Service department
New Zealand Police,buster.org.nz,Yes,Non-Public Service department
New Zealand Police,crl.govt.nz,No,Non-Public Service department
New Zealand Police,forms.police.govt.nz/forms/single-non-emergency-number/31,No,Non-Public Service department
New Zealand Police,https://login.microsoftonline.com/6306a8db-97db-41dd-be02-77541bd7cffb/oauth2/authorize?client_id=cc522d88-4391-429a-a444-,No,Non-Public Service department
New Zealand Police,isr.govt.nz,No,Non-Public Service department
New Zealand Police,newcops.co.nz,No,Non-Public Service department
New Zealand Police,ofcanz.govt.nz,No,Non-Public Service department
New Zealand Police,police.govt.nz,Yes,Non-Public Service department
New Zealand Police,snen.govt.nz,No,Non-Public Service department
New Zealand Police,womeninblue.co.nz,No,Non-Public Service department
New Zealand Post Limited,kiwibank.co.nz,Yes,State Owned Enterprise
New Zealand Post Limited,nzpost.co.nz,Yes,State Owned Enterprise
New Zealand Productivity Commission ,productivity.govt.nz,No,Independent Crown Entity
New Zealand Public Health Observatory,nzpho.org.nz,No,Crown entity company
New Zealand Qualifications Authority,kiwiquals.govt.nz,No,Crown Entity - Crown Agent
New Zealand Qualifications Authority,ncea.govt.nz,No,Crown Entity - Crown Agent
New Zealand Qualifications Authority,neic.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Qualifications Authority,nzqa.govt.nz,No,Crown Entity - Crown Agent
New Zealand Qualifications Authority,nzqf.govt.nz,No,Crown Entity - Crown Agent
New Zealand Qualifications Authority,nzscholarship.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Qualifications Authority,qualifications.govt.nz,No,Crown Entity - Crown Agent
New Zealand Qualifications Authority,qualsregister.govt.nz,No,Crown Entity - Crown Agent
New Zealand Qualifications Authority,scholarship.govt.nz,No,Crown Entity - Crown Agent
New Zealand Qualifications Authority,topart.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Racing Board,nzracingboard.co.nz,No,Statutory Body
New Zealand Racing Board,tab.co.nz,No,Statutory Body
New Zealand Racing Board,theraces.co.nz,No,Statutory Body
New Zealand Security Intelligence Service ,nzsis.govt.nz,No,Non-Public Service department
New Zealand Security Intelligence Service ,protectivesecurity.govt.nz,Yes,Non-Public Service department
New Zealand Security Intelligence Service ,security.govt.nz,No,Non-Public Service department
New Zealand Symphony Orchestra,nzso.co.nz,Yes,Autonomous Crown Entity
New Zealand Tourism Board,images.newzealand.com,No,Crown Entity - Crown Agent
New Zealand Tourism Board,newzealand.com,Yes,Crown Entity - Crown Agent
New Zealand Tourism Board,tourismnewzealand.com,Yes,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,g2g.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,investmentnz.govt.nz,No,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,investnewzealand.govt.nz,No,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,newzealandtrade-enterprise.govt.nz,No,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,nzstory.govt.nz,No,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,nzte.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,projectlink.co.nz,No,Crown Entity - Crown Agent
New Zealand Trade and Enterprise,projectlink.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,aucklandmotorways.com,No,Crown Entity - Crown Agent
New Zealand Transport Agency,bikewise.co.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,crashtest.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,drive.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Transport Agency,feetfirst.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,fuelsave.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,fuelsaver.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,giveway.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,highwayinfo.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,landtransport.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Transport Agency,nzta.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Transport Agency,onthemove.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,practice.co.nz,Yes,Crown Entity - Crown Agent
New Zealand Transport Agency,rightcar.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,roadsafety.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,safednz.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,tfk.govt.nz,Yes,Crown Entity - Crown Agent
New Zealand Transport Agency,tollroad.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,tolls.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,transfund.govt.nz,No,Crown Entity - Crown Agent
New Zealand Transport Agency,transit.govt.nz,No,Crown Entity - Crown Agent
New Zealand Walking Access Commission ,walkingaccess.govt.nz,No,Crown Entity - Crown Agent
Northland District Health Board,northlanddhb.org.nz,Yes,District Health Board
Northland Regional Council,nrc.govt.nz,No,Regional Council
NZ on Air,audioculture.co.nz,No,Autonomous Crown Entity
NZ on Air,nzonair.govt.nz,No,Autonomous Crown Entity
Office of Film and Literature Classification,censor.org.nz,No,Independent Crown Entity
Office of Film and Literature Classification,censorship.govt.nz,Yes,Independent Crown Entity
Office of Film and Literature Classification,classificationoffice.govt.nz,Yes,Independent Crown Entity
Office of the Auditor-General,auditnz.govt.nz,No,Offices of Parliament
Office of the Auditor-General,auditor-general.parliament.nz,No,Offices of Parliament
Office of the Auditor-General,blog.oag.govt.nz,No,Offices of Parliament
Office of the Auditor-General,oag.govt.nz,No,Offices of Parliament
Office of the Ombudsman ,ombudsman.govt.nz,No,Offices of Parliament
Office of the Ombudsman ,ombudsman.parliament.nz,No,Offices of Parliament
Office of the Ombudsman ,ombudsmen.govt.nz,No,Offices of Parliament
Office of the Ombudsman ,ombudsmen.parliament.nz,No,Offices of Parliament
Otago Museum,otagomuseum.govt.nz,No,Other
Otago Regional Council ,otagocdem.govt.nz,No,Regional Council
Otorohanga District Council ,otodc.govt.nz,No,District Council
Pacific Co-operation Foundation,pcf.org.nz,No,Public Finance Act Fourth Schedule Organisation
Pacific Island Business Development Trust,pacificbusiness.co.nz,No,Public Finance Act Fourth Schedule Organisation
Palmerston North City Council,lgcareers.co.nz/redirection-message,No,City Council
Palmerston North City Council,localgovernmentcareers.govt.nz,No,City Council
Palmerston North City Council,palmerstonnorth.govt.nz,No,City Council
Palmerston North City Council,pncc.govt.nz,No,City Council
Parliamentary Counsel Office,legislation.govt.nz,No,Non-Public Service department
Parliamentary Counsel Office,pco.govt.nz,No,Non-Public Service department
Parliamentary Service ,ministers.govt.nz,No,Non-Public Service department
Parliamentary Service ,parliament.govt.nz,No,Non-Public Service department
Parliamentary Service ,pce.parliament.nz,No,Offices of Parliament
Parliamentary Service ,primeminister.govt.nz,No,Non-Public Service department
Parliamentary Service ,secure.parliament.nz,No,Non-Public Service department
Parliamentary Service ,www.parliament.nz,No,Non-Public Service department
Pharmaceutical Management Agency (PHARMAC),pharmac.govt.nz,No,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),pharmac.health.nz,Yes,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),pharmac.co.nz,Yes,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),pharmac.nz,Yes,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),healthsector.pharmac.health.nz,No,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),careers.pharmac.govt.nz,No,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),spacetobreathe.co.nz,No,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),spacetobreathe.org.nz,Yes,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),schedule.co.nz,No,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),schedule.net.nz,Yes,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),schedule.org.nz,Yes,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),oneheartmanylives.co.nz,No,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),bcpice.pharmac.govt.nz,No,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),bcpice.co.nz,Yes,Crown Entity - Crown Agent
Pharmaceutical Management Agency (PHARMAC),in-tendhost.co.uk/pharmac/aspx/Home,No,Crown Entity - Crown Agent
Porirua City Council,pcc.govt.nz,No,City Council
Privacy Commissioner,privacy.org.nz,No,Independent Crown Entity
Public Trust,publictrust.co.nz,No,Autonomous Crown Entity
Queenstown Lakes District Council,codc-qldc.govt.nz,No,District Council
Queenstown Lakes District Council,qldc.govt.nz,No,District Council
Quotable Value Limited,qv.co.nz,No,State Owned Enterprise
Rangitikei District Council,rangdc.govt.nz,No,District Council
Rangitikei District Council,rangitikei.govt.nz,No,District Council
Real Estate Agents Authority,reaa.govt.nz,No,Crown Entity - Crown Agent
Research and Education Advanced Network New Zealand Limited,reannz.co.nz,No,Crown entity company
Reserve Bank of New Zealand ,rbnz.govt.nz,Yes,Reserve Bank of New Zealand
Reserve Bank of New Zealand ,rbnzmuseum.govt.nz,No,Reserve Bank of New Zealand
Reserve Bank of New Zealand ,reservebank.govt.nz,Yes,Reserve Bank of New Zealand
Reserve Bank of New Zealand ,reservebankmuseum.govt.nz,No,Reserve Bank of New Zealand
Rotorua District Council ,rdc.govt.nz,Yes,District Council
Rotorua District Council ,rotorualibrary.govt.nz,No,District Council
Rotorua District Council ,www.rotorualakescouncil.nz,No,District Council
Ruapehu District Council,ruapehudc.govt.nz,No,District Council
Selwyn District Council ,selwyn.govt.nz,No,District Council
Serious Fraud Office ,sfo.govt.nz,Yes,Public Service department
Social Workers Registration Board ,swrb.govt.nz,No,Crown Entity - Crown Agent
Solid Energy New Zealand Limited,coalnz.com,No,State Owned Enterprise
South Canterbury District Health Board,scdhb.health.nz,No,District Health Board
South Wairarapa District Council,swdc.govt.nz,No,District Council
Southern District Health Board ,southerndhb.govt.nz,No,District Health Board
Southern Primary Health Organisation,southernpho.health.nz,No,District Health Board
Southern Response,southernresponse.co.nz,No,Public Finance Act Schedule 4A Company
Southland District Council,southlanddc.govt.nz,No,District Health Board
Southland Regional Council,es.govt.nz,No,Regional Council
Sport New Zealand,sportnz.org.nz,No,Crown Entity - Crown Agent
Sports Tribunal of New Zealand,sportstribunal.org.nz,No,Crown Entity - Crown Agent
Standards New Zealand,standards.co.nz,No,Autonomous Crown Entity
Statistics New Zealand,census.govt.nz,No,Public Service department
Statistics New Zealand,datafinder.stats.govt.nz,No,Public Service department
Statistics New Zealand,datainfoplus.stats.govt.nz,No,Public Service department
Statistics New Zealand,innovation.stats.govt.nz,No,Public Service department
Statistics New Zealand,nzdotstat.stats.govt.nz,No,Public Service department
Statistics New Zealand,stats.govt.nz,No,Public Service department
Stratford District Council,stratford.govt.nz,Yes,District Council
Stratford District Council,stratfordlibrary.govt.nz,Yes,District Council
Tairawhiti District Health,tairawhitidhb.health.nz,No,District Health Board
Tairawhiti District Health Board,tdh.org.nz,Yes,District Health Board
Takeovers Panel,takeovers.govt.nz,No,Independent Crown Entity
Taranaki Regional Council,trc.govt.nz,Yes,Regional Council
Taranaki Regional Council ,cdemtaranaki.govt.nz,No,Regional Council
Tararua District Council,tararuadc.govt.nz,Yes,District Council
Tasman District Council ,taslib.govt.nz,No,District Council
Tasman District Council ,tasman.govt.nz,No,District Council
Tasman District Council ,tasmanlibraries.govt.nz,No,District Council
Tasman District Council ,tdc.govt.nz,No,District Council
Taupo District Council ,taupo.govt.nz,No,District Council
Taupo District Council ,taupodc.govt.nz,Yes,District Council
Taupo District Council ,taupolibrary.govt.nz,No,District Council
Tauranga City Council,cobop.govt.nz,No,City Council
Tauranga City Council,tauranga.govt.nz,No,City Council
Tauranga City Council,taurangacity.govt.nz,Yes,City Council
Tauranga City Council,taurangacityplan.govt.nz,No,City Council
Te Mangai Paho,tmp.govt.nz,No,Autonomous Crown Entity
Te Puni Kokiri,tpk.govt.nz,No,Public Service department
"Te Taura Whiri I Te Reo Maori, Maori Language Commission",tetaurawhiri.govt.nz,Yes,Autonomous Crown Entity
Tertiary Education Commission ,skillshighway.govt.nz,No,Crown Entity - Crown Agent
Tertiary Education Commission ,tec.govt.nz,No,Crown Entity - Crown Agent
Thames Coromandel District Council ,coromandel.govt.nz,No,District Council
Thames Coromandel District Council ,tcdc.govt.nz,Yes,District Council
The Agricultural and Marketing Research and Development Trust,agmardt.org.nz,No,Public Finance Act Fourth Schedule Organisation
The Commission for Financial Literacy and Retirement Income ,cflri.org.nz,No,Autonomous Crown Entity
The Office of the Children’s Commissioner ,occ.org.nz,No,Independent Crown Entity
The Treasury,boardappointments.co.nz,No,Public Service department
The Treasury,budget.govt.nz,Yes,Public Service department
The Treasury,cass.govt.nz,No,Public Service department
The Treasury,ccdu.govt.nz,No,Public Service department
The Treasury,ccmau.govt.nz,Yes,Public Service department
The Treasury,cera.govt.nz,Yes,Public Service department
The Treasury,civildefence.govt.nz,No,Public Service department
The Treasury,comu.govt.nz,No,Public Service department
The Treasury,connectsmart.govt.nz,No,Public Service department
The Treasury,dpmc.govt.nz,No,Public Service department
The Treasury,emis.govt.nz,No,Public Service department
The Treasury,flag.govt.nz,No,Public Service department
The Treasury,genesisenergyshares.govt.nz,No,Public Service department
The Treasury,getthru.govt.nz,No,Public Service department
The Treasury,gg.govt.nz,No,Public Service department
The Treasury,governmentshareoffers.govt.nz,No,Public Service department
The Treasury,govthouse.govt.nz,No,Public Service department
The Treasury,infrastructure.govt.nz,No,Public Service department
The Treasury,mcdem.govt.nz,No,Public Service department
The Treasury,ncmc.govt.nz,No,Public Service department
The Treasury,nzdmo.govt.nz,No,Public Service department
The Treasury,nzeco.govt.nz,No,Public Service department
The Treasury,ogp.org.nz,Yes,Public Service department
The Treasury,shakeout.govt.nz,No,Public Service department
The Treasury,ssc.govt.nz,No,Public Service department
The Treasury,ssrss.govt.nz,No,Public Service department
The Treasury,treasury.govt.nz,No,Public Service department
The Treasury,uatemis.govt.nz,No,Public Service department
The Treasury,whatstheplanstan.govt.nz,No,Public Service department
Timaru District Council ,timaru.govt.nz,No,District Council
Transport Accident Investigation Commission,taic.org.nz,Yes,Independent Crown Entity
